"year","month","day","order","country","session.ID","page.1..main.category.","page.2..clothing.model.","colour","location","model.photography","price","price.2","page"
2008,"April",8,15,"Poland",2239,"skirts","B14","black","bottom in the middle","en face",62,"yes",1
2008,"April",4,2,"Czech_Republic",1404,"skirts","B24","pink","top in the middle","en face",57,"yes",2
2008,"August",9,3,"Poland",23414,"trousers","A12","black","bottom left","en face",38,"no",1
2008,"June",26,26,"Poland",16322,"blouses","C1","brown","top left","profile",28,"no",1
2008,"August",12,12,"Poland",23946,"sale","P41","of many colors","top in the middle","profile",43,"yes",3
2008,"May",9,4,"Poland",8378,"trousers","A33","beige","bottom in the middle","en face",38,"no",2
2008,"July",14,6,"Poland",19256,"trousers","A8","blue","top right","en face",62,"yes",1
2008,"June",15,11,"Poland",14502,"skirts","B25","grey","top right","en face",38,"no",2
2008,"June",3,4,"Poland",12693,"sale","P20","green","top left","en face",23,"no",2
2008,"June",8,17,"Poland",13370,"blouses","C4","brown","top in the middle","en face",48,"yes",1
2008,"April",21,10,"net(*.net)",5163,"trousers","A11","blue","bottom left","en face",62,"yes",1
2008,"April",10,8,"Poland",2764,"sale","P18","black","bottom right","en face",28,"no",1
2008,"April",22,12,"Poland",5321,"skirts","B24","pink","top in the middle","en face",57,"yes",2
2008,"April",7,4,"net(*.net)",2145,"sale","P7","brown","top right","profile",28,"no",1
2008,"August",6,15,"Poland",23001,"skirts","B21","red","top left","en face",67,"yes",2
2008,"June",21,11,"Poland",15510,"skirts","B4","olive","top in the middle","en face",52,"yes",1
2008,"May",26,2,"Luxembourg",11298,"skirts","B13","red","bottom in the middle","profile",62,"yes",1
2008,"June",19,5,"Czech_Republic",15218,"skirts","B11","black","bottom left","en face",43,"no",1
2008,"June",24,29,"Poland",15940,"sale","P1","blue","top left","en face",38,"yes",1
2008,"July",24,8,"Poland",20928,"skirts","B21","red","top left","en face",67,"yes",2
2008,"April",8,2,"Poland",2271,"trousers","A1","navy blue","top left","en face",28,"no",1
2008,"June",27,6,"Poland",16469,"blouses","C4","brown","top in the middle","en face",48,"yes",1
2008,"June",5,1,"Poland",12967,"skirts","B31","of many colors","bottom in the middle","en face",57,"yes",2
2008,"May",15,8,"Poland",9319,"blouses","C34","green","bottom right","en face",48,"yes",2
2008,"April",26,13,"Poland",6010,"blouses","C35","of many colors","bottom right","en face",50,"yes",2
2008,"May",9,6,"Czech_Republic",8248,"trousers","A21","beige","top left","en face",62,"yes",2
2008,"April",12,2,"Poland",3181,"blouses","C51","grey","bottom in the middle","en face",20,"no",3
2008,"April",2,2,"Poland",530,"skirts","B13","red","bottom in the middle","profile",62,"yes",1
2008,"April",18,17,"Poland",4442,"sale","P70","grey","bottom right","profile",38,"yes",4
2008,"July",17,75,"Czech_Republic",19777,"blouses","C5","pink","top in the middle","en face",48,"yes",1
2008,"July",26,15,"Czech_Republic",21223,"blouses","C10","of many colors","bottom left","profile",28,"no",1
2008,"May",17,7,"Poland",9654,"trousers","A18","brown","bottom right","en face",38,"no",1
2008,"June",2,23,"Czech_Republic",12478,"trousers","A34","black","bottom right","en face",38,"no",2
2008,"May",7,8,"Poland",7958,"blouses","C53","white","bottom right","en face",38,"no",3
2008,"April",7,1,"Poland",1989,"skirts","B26","violet","top right","en face",57,"yes",2
2008,"July",6,7,"Czech_Republic",17798,"blouses","C14","of many colors","bottom in the middle","en face",23,"no",1
2008,"April",16,2,"Poland",4171,"trousers","A3","blue","top left","en face",72,"yes",1
2008,"April",23,6,"Poland",5621,"sale","P44","pink","top right","profile",28,"no",3
2008,"May",29,14,"Poland",11756,"trousers","A10","blue","bottom left","en face",38,"no",1
2008,"May",14,21,"Poland",9147,"sale","P11","brown","bottom left","profile",38,"yes",1
2008,"June",4,1,"Poland",12786,"sale","P1","blue","top left","en face",38,"yes",1
2008,"June",14,4,"Czech_Republic",14438,"blouses","C26","white","top right","en face",28,"no",2
2008,"April",6,38,"Poland",1810,"sale","P36","black","bottom right","en face",43,"yes",2
2008,"July",11,3,"Poland",18810,"trousers","A11","blue","bottom left","en face",62,"yes",1
2008,"July",30,1,"Poland",21877,"trousers","A1","navy blue","top left","en face",28,"no",1
2008,"May",14,13,"Czech_Republic",9214,"blouses","C53","white","bottom right","en face",38,"no",3
2008,"June",19,1,"Poland",15199,"trousers","A11","blue","bottom left","en face",62,"yes",1
2008,"April",30,8,"Poland",6808,"sale","P51","of many colors","bottom in the middle","en face",28,"no",3
2008,"May",1,8,"Czech_Republic",6955,"skirts","B14","black","bottom in the middle","en face",62,"yes",1
2008,"April",2,1,"Poland",875,"blouses","C40","white","top in the middle","profile",28,"no",3
2008,"May",27,7,"Poland",11487,"trousers","A1","navy blue","top left","en face",28,"no",1
2008,"June",19,4,"Poland",15169,"skirts","B4","olive","top in the middle","en face",52,"yes",1
2008,"July",19,4,"Poland",20071,"blouses","C57","burgundy","top left","profile",33,"no",4
2008,"July",13,11,"Poland",18975,"trousers","A39","brown","top left","en face",38,"no",3
2008,"July",27,5,"Poland",21403,"sale","P8","black","top right","en face",28,"no",1
2008,"July",10,3,"Poland",18624,"sale","P15","brown","bottom in the middle","profile",38,"yes",1
2008,"May",13,1,"Poland",8998,"skirts","B10","black","bottom left","en face",67,"yes",1
2008,"July",27,1,"Poland",21403,"sale","P14","black","bottom in the middle","profile",38,"yes",1
2008,"June",8,2,"Poland",13412,"trousers","A6","blue","top in the middle","en face",43,"no",1
2008,"June",13,14,"Estonia",14226,"trousers","A31","grey","bottom in the middle","profile",62,"yes",2
2008,"June",1,4,"Czech_Republic",12285,"skirts","B3","red","top left","en face",52,"yes",1
2008,"August",9,24,"Poland",23407,"sale","P33","of many colors","bottom in the middle","en face",43,"yes",2
2008,"June",28,8,"Poland",16666,"sale","P5","blue","top in the middle","en face",23,"no",1
2008,"June",13,6,"Poland",14210,"trousers","A42","grey","top in the middle","en face",28,"no",3
2008,"April",13,1,"Poland",3427,"sale","P1","blue","top left","en face",38,"yes",1
2008,"May",13,1,"Poland",8924,"skirts","B2","blue","top left","profile",57,"yes",1
2008,"July",8,4,"Poland",18283,"blouses","C2","red","top left","en face",43,"yes",1
2008,"June",6,1,"Poland",13132,"trousers","A8","blue","top right","en face",62,"yes",1
2008,"April",11,2,"Lithuania",3130,"trousers","A10","blue","bottom left","en face",38,"no",1
2008,"August",9,3,"Poland",23396,"skirts","B21","red","top left","en face",67,"yes",2
2008,"June",19,5,"Poland",15191,"blouses","C22","pink","top in the middle","profile",43,"yes",2
2008,"June",1,7,"Poland",12181,"blouses","C5","pink","top in the middle","en face",48,"yes",1
2008,"August",1,4,"Poland",22237,"trousers","A40","brown","top in the middle","profile",38,"no",3
2008,"August",11,8,"Poland",23763,"sale","P37","black","top left","en face",43,"yes",3
2008,"May",14,4,"Poland",9076,"sale","P39","white","top left","en face",43,"yes",3
2008,"April",11,1,"Poland",2913,"sale","P78","white","top in the middle","profile",48,"yes",5
2008,"May",24,22,"Poland",10927,"blouses","C15","grey","bottom in the middle","en face",33,"no",1
2008,"April",12,9,"Poland",3217,"trousers","A11","blue","bottom left","en face",62,"yes",1
2008,"April",10,3,"Poland",2644,"trousers","A21","beige","top left","en face",62,"yes",2
2008,"April",2,10,"Czech_Republic",925,"blouses","C49","brown","bottom in the middle","profile",26,"no",3
2008,"August",11,10,"Poland",23645,"blouses","C29","grey","bottom left","profile",52,"yes",2
2008,"July",17,1,"Czech_Republic",19680,"blouses","C56","grey","top left","profile",57,"yes",4
2008,"May",19,32,"Poland",9987,"sale","P53","black","bottom right","profile",38,"yes",3
2008,"August",3,6,"Poland",22365,"blouses","C33","white","bottom in the middle","en face",48,"yes",2
2008,"July",31,21,"Czech_Republic",22073,"trousers","A2","blue","top left","en face",43,"no",1
2008,"April",29,1,"Poland",6516,"skirts","B6","black","top in the middle","en face",52,"yes",1
2008,"August",12,1,"Poland",23958,"trousers","A3","blue","top left","en face",72,"yes",1
2008,"May",21,2,"Poland",10462,"trousers","A31","grey","bottom in the middle","profile",62,"yes",2
2008,"June",27,1,"Poland",16473,"trousers","A1","navy blue","top left","en face",28,"no",1
2008,"July",5,5,"Poland",17738,"skirts","B20","navy blue","top left","en face",43,"no",2
2008,"April",9,2,"Poland",2574,"sale","P6","black","top in the middle","en face",43,"yes",1
2008,"May",6,3,"Poland",7658,"trousers","A6","blue","top in the middle","en face",43,"no",1
2008,"April",9,13,"Poland",2559,"blouses","C5","pink","top in the middle","en face",48,"yes",1
2008,"July",23,2,"Czech_Republic",20842,"skirts","B9","beige","top right","en face",48,"no",1
2008,"April",12,4,"Czech_Republic",3184,"trousers","A22","brown","top in the middle","en face",62,"yes",2
2008,"April",4,2,"Poland",1348,"sale","P15","brown","bottom in the middle","profile",38,"yes",1
2008,"August",1,5,"Poland",22157,"trousers","A2","blue","top left","en face",43,"no",1
2008,"June",17,1,"Poland",14882,"skirts","B10","black","bottom left","en face",67,"yes",1
2008,"July",25,5,"Poland",21109,"blouses","C50","of many colors","bottom in the middle","profile",20,"no",3
2008,"May",20,14,"Poland",10235,"sale","P44","pink","top right","profile",28,"no",3
2008,"June",19,13,"Poland",15265,"sale","P43","green","top right","profile",38,"yes",3
2008,"June",5,20,"Czech_Republic",12927,"blouses","C36","white","bottom right","en face",43,"yes",2
2008,"July",24,3,"Poland",21024,"trousers","A9","blue","top right","en face",82,"yes",1
2008,"July",18,12,"Poland",19951,"blouses","C34","green","bottom right","en face",48,"yes",2
2008,"April",20,1,"Czech_Republic",4822,"skirts","B21","red","top left","en face",67,"yes",2
2008,"June",10,5,"Czech_Republic",13812,"blouses","C11","green","bottom left","en face",33,"no",1
2008,"July",9,44,"Poland",18470,"sale","P34","of many colors","bottom right","profile",48,"yes",2
2008,"May",19,1,"Poland",10062,"blouses","C13","of many colors","bottom in the middle","en face",48,"yes",1
2008,"April",2,24,"Poland",947,"sale","P74","red","top left","profile",33,"no",5
2008,"July",11,1,"Poland",18825,"trousers","A2","blue","top left","en face",43,"no",1
2008,"June",2,7,"Germany",12299,"skirts","B6","black","top in the middle","en face",52,"yes",1
2008,"June",17,5,"Czech_Republic",14792,"skirts","B10","black","bottom left","en face",67,"yes",1
2008,"July",7,14,"Poland",18024,"blouses","C12","white","bottom left","en face",43,"yes",1
2008,"July",13,2,"Poland",18992,"sale","P2","blue","top left","en face",28,"no",1
2008,"August",4,2,"Poland",22484,"blouses","C14","of many colors","bottom in the middle","en face",23,"no",1
2008,"July",26,14,"Poland",21222,"sale","P16","green","bottom right","en face",33,"no",1
2008,"August",7,3,"Poland",23171,"sale","P82","grey","bottom left","profile",48,"yes",5
2008,"May",22,31,"Poland",10574,"skirts","B9","beige","top right","en face",48,"no",1
2008,"April",18,4,"Poland",4493,"trousers","A4","blue","top in the middle","profile",38,"no",1
2008,"July",7,3,"Poland",17918,"sale","P26","brown","top right","en face",43,"yes",2
2008,"April",4,9,"Poland",1271,"blouses","C50","of many colors","bottom in the middle","profile",20,"no",3
2008,"May",4,9,"Poland",7397,"blouses","C41","violet","top in the middle","en face",28,"no",3
2008,"June",3,1,"Poland",12632,"sale","P5","blue","top in the middle","en face",23,"no",1
2008,"April",16,7,"Poland",3997,"blouses","C2","red","top left","en face",43,"yes",1
2008,"June",19,3,"Poland",15290,"sale","P11","brown","bottom left","profile",38,"yes",1
2008,"July",28,3,"Poland",21535,"skirts","B20","navy blue","top left","en face",43,"no",2
2008,"April",28,2,"Czech_Republic",6502,"trousers","A32","black","bottom in the middle","en face",38,"no",2
2008,"May",16,38,"United_Kingdom",9455,"sale","P29","burgundy","bottom left","profile",33,"no",2
2008,"August",6,8,"Poland",23006,"blouses","C25","black","top right","en face",33,"no",2
2008,"May",8,11,"Lithuania",8113,"sale","P19","black","top left","en face",48,"yes",2
2008,"May",6,5,"Poland",7739,"trousers","A19","red","top left","profile",33,"no",2
2008,"July",3,1,"Czech_Republic",17405,"blouses","C3","grey","top left","profile",23,"no",1
2008,"April",26,34,"Poland",6076,"skirts","B23","green","top in the middle","en face",38,"no",2
2008,"July",8,14,"Poland",18191,"trousers","A11","blue","bottom left","en face",62,"yes",1
2008,"May",26,1,"Poland",11249,"skirts","B4","olive","top in the middle","en face",52,"yes",1
2008,"July",27,1,"Czech_Republic",21341,"skirts","B10","black","bottom left","en face",67,"yes",1
2008,"April",16,27,"Poland",4087,"skirts","B30","of many colors","bottom left","en face",57,"yes",2
2008,"June",5,21,"Poland",13053,"sale","P49","white","bottom in the middle","en face",33,"no",3
2008,"June",18,25,"Poland",15056,"blouses","C28","black","bottom left","profile",48,"yes",2
2008,"April",27,13,"Poland",6225,"skirts","B29","black","bottom left","en face",62,"yes",2
2008,"August",5,4,"Poland",22778,"skirts","B9","beige","top right","en face",48,"no",1
2008,"June",29,2,"Poland",16771,"trousers","A20","black","top left","profile",38,"no",2
2008,"April",16,8,"Poland",4103,"skirts","B17","grey","bottom right","profile",38,"no",1
2008,"April",10,4,"Poland",2643,"sale","P12","brown","bottom left","en face",33,"no",1
